sentence_id,category,difficulty,english,nepali
e01,everyday,easy,Please give me water.,कृपया मलाई पानी दिनुस्।
e02,everyday,easy,Thank you very much.,धेरै धन्यवाद।
e03,everyday,easy,I am hungry.,मलाई भोक लागेको छ।
e04,everyday,medium,Please call a doctor.,कृपया डाक्टरलाई बोलाउनुस्।
e05,everyday,easy,I need help.,मलाई सहयोग चाहिन्छ।
e06,everyday,easy,Good morning.,शुभ प्रभात।
e07,everyday,easy,See you later.,पछि भेटौंला।
e08,everyday,medium,I am feeling tired.,मलाई थकान महसुस भइरहेको छ।
e09,everyday,easy,Please speak slowly.,कृपया बिस्तारै बोल्नुस्।
e10,everyday,easy,Where is the toilet?,शौचालय कहाँ छ?
e11,everyday,medium,I want to buy vegetables.,म तरकारी किन्न चाहन्छु।
e12,everyday,easy,Please write it down.,कृपया लेखिदिनुस्।
e13,everyday,easy,I am lost.,म हराएको छु।
e14,everyday,medium,This is too expensive.,यो धेरै महँगो छ।
e15,everyday,medium,I would like a receipt.,मलाई रसिद चाहिन्छ।
e16,everyday,easy,Please wait a moment.,कृपया एक क्षण पर्खनुस्।
e17,everyday,medium,I have a headache.,मेरो टाउको दुखिरहेको छ।
e18,everyday,easy,Can you repeat that?,के तपाईं फेरि भन्न सक्नुहुन्छ?
e19,everyday,easy,I am deaf.,म बहिरो हुँ।
e20,everyday,medium,Please use sign language.,कृपया सांकेतिक भाषा प्रयोग गर्नुस्।
n01,negation,easy,I do not understand.,म बुझ्दिनँ।
n02,negation,easy,She is not here.,उनी यहाँ छैनन्।
n03,negation,easy,I do not want to go.,म जान चाहन्नँ।
n04,negation,medium,He did not eat anything.,उनले केही खाएनन्।
n05,negation,easy,This is not my bag.,यो मेरो झोला होइन।
n06,negation,medium,We cannot come tomorrow.,हामी भोलि आउन सक्दैनौं।
n07,negation,easy,I have no money.,मसँग पैसा छैन।
n08,negation,easy,The shop is not open.,पसल खुला छैन।
n09,negation,medium,She does not speak Nepali.,उनी नेपाली बोल्दिनन्।
n10,negation,easy,I am not sick.,म बिरामी छैन।
n11,negation,hard,He never comes on time.,उनी कहिल्यै समयमा आउँदैनन्।
n12,negation,easy,There is no water here.,यहाँ पानी छैन।
n13,negation,medium,I did not say that.,मैले त्यो भनेको होइन।
n14,negation,medium,They are not coming today.,तिनीहरू आज आउँदैनन्।
n15,negation,medium,This road is not safe.,यो बाटो सुरक्षित छैन।
n16,negation,medium,I cannot hear you.,म तपाईंको कुरा सुन्न सक्दिनँ।
n17,negation,hard,She has not arrived yet.,उनी अझै आइपुगेकी छैनन्।
n18,negation,medium,I do not know the address.,मलाई ठेगाना थाहा छैन।
n19,negation,hard,Nobody helped me.,कसैले मलाई सहयोग गरेन।
n20,negation,easy,The door is not locked.,ढोका बन्द छैन।
q01,question,easy,What is your name?,तपाईंको नाम के हो?
q02,question,easy,Where do you live?,तपाईं कहाँ बस्नुहुन्छ?
q03,question,easy,How old are you?,तपाईंको उमेर कति हो?
q04,question,easy,What time is it?,अहिले कति बज्यो?
q05,question,easy,Are you feeling well?,तपाईं ठीक हुनुहुन्छ?
q06,question,medium,Where is the nearest hospital?,नजिकको अस्पताल कहाँ छ?
q07,question,medium,Can you help me?,के तपाईं मलाई सहयोग गर्न सक्नुहुन्छ?
q08,question,medium,What is the price of this?,यसको मूल्य कति हो?
q09,question,hard,Do you understand sign language?,के तपाईं सांकेतिक भाषा बुझ्नुहुन्छ?
q10,question,medium,Which bus goes to Thamel?,थमेल जाने बस कुन हो?
q11,question,medium,How far is the station?,स्टेशन कति टाढा छ?
q12,question,easy,Who is your doctor?,तपाईंको डाक्टर को हुनुहुन्छ?
q13,question,medium,What did you eat today?,तपाईंले आज के खानुभयो?
q14,question,medium,Is the market open now?,के बजार अहिले खुला छ?
q15,question,medium,When will you come back?,तपाईं कहिले फर्कनुहुन्छ?
q16,question,medium,Why are you crying?,तपाईं किन रुनुभएको?
q17,question,medium,How many people are there?,त्यहाँ कति मान्छे छन्?
